Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
4027,FULLBRIGHT EL,503,14,1,K- 5,NorthWes,4
4055,GARDEN GROVE EL,455,40,4,K- 5,NorthWes,6
4041,GARDENA EL,600,19,1,K- 5,South,7
4068,GARDNER EL,457,32,3,K- 6,West,4
4082,GARVANZA EL,392,17,1,K- 6,Central,5
4096,GATES EL,716,19,1,K- 5,East,2
4110,GAULT EL,401,21,1,K- 5,NorthWes,3
4117,GERMAIN ACAD AA,527,39,4,K- 5,NorthWes,3
4123,GLASSELL PARK EL,508,20,1,K- 5,Central,5
4130,GLEDHILL EL,512,32,3,K- 5,NorthWes,6
4137,GLEN ALTA EL,205,19,1,K- 8,East,2
4164,GLENFELIZ BLVD EL,343,32,3,K- 6,Central,5
4192,GLENWOOD EL,443,41,4,K- 5,Northeast,6
4219,GRAHAM EL,814,23,2,K- 6,South,7
4233,GRANADA COMMUNITY CH,453,26,2,K- 5,NorthWes,3
4247,Grand View Blvd. Elelmentary,675,38,4,ETK - 5th Grade,West,4
4260,GRANT EL,589,32,3,K- 6,West,5
4274,GRAPE EL,664,22,2,K- 5,South,7
2385,GRATTS LA FOR YS,559,22,2,2-6,Central,2
4295,GRIDLEY EL,662,16,1,K- 5,Northeast,6
4301,GRIFFIN EL,552,35,4,K- 5,East,2
5849,GRIFFITH JOYNER EL,663,15,1,K- 5,South,7
4315,GULF EL,882,27,2,K- 5,South,7
4329,HADDON EL,799,21,1,K- 5,Northeast,6
4342,HALLDALE EL,546,43,4,K- 5,South,7
6274,HAMASAKI EL,457,22,2,K- 6,East,2
4349,Hamlin Char Acad,-,0,0,K- 5,NorthWes,3
4397,HANCOCK PARK EL,851,47,4,K- 5,West,4
4425,HARBOR CITY EL,646,25,2,K- 5,South,7
4681,HARMONY EL,691,29,3,K- 5,Central,5
4438,HARRISON EL,521,16,1,K- 6,East,2
4445,HART ST EL,837,26,2,K- 5,NorthWes,3
2042,HARVARD EL,482,25,2,K- 5,West,2
4452,HASKELL EL,589,28,3,K- 5,NorthWes,3
4466,HAWAIIAN EL,720,21,1,K- 5,South,7
4473,HAYNES CES,440,28,3,K- 5,NorthWes,3
4493,HAZELTINE EL,761,40,4,K- 5,Northeast,6
4507,HELIOTROPE EL,737,26,2,K- 5,East,5
4515,HERRICK EL,584,21,1,K- 5,Northeast,6
4521,HESBY OAKS LEAD CHTR,552,40,4,K- 8,NorthWes,4
4528,HILLCREST DR EL,763,21,1,K- 5,West,1
4534,HILLSIDE EL,274,15,1,K- 5,East,2
4548,HOBART BLVD EL,750,19,1,K- 5,Central,2
6549,HOLLYWOOD PC,182,34,3,K- 3,West,4
4562,HOLMES EL,321,22,2,K- 6,East,5
4575,HOOPER EL,"1,001",35,4,1-5,Central,5
4576,HOOPER PC,280,25,2,K- K,Central,5
4589,HOOVER EL,809,38,4,K- 5,Central,2
6920,Hope St EL,0,0,0,K- 5,East,5
4603,HUBBARD EL,711,14,1,K- 5,Northeast,6
2944,HUERTA EL,460,20,1,K- 5,Central,2
2375,HUGHES EL,898,23,2,K- 6,East,5
4616,HUMPHREYS EL,775,35,4,K- 5,East,2
4630,HUNTINGTON DR EL,453,32,3,K- 6,East,2
2391,HUNTINGTON PARK EL,480,25,2,K- 5,East,5
6880,INDEPENDENCE EL,754,15,1,K- 5,East,5
