Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
8736,LOS ANGELES SH,"1,506",35,3,9-12,West,1
8228,MACLAY MS,828,24,1,6-8,Northeast,6
8230,MADISON MS,"1,648",25,1,6-8,Northeast,3
8236,MANN MS,405,22,1,42163,West,1
8743,MANUAL ARTS SH,"1,709",27,2,9-12,Central,1
8235,MARINA DEL REY MS,676,32,2,6-8,West,4
8425,MARK TWAIN MS,636,30,2,6-8,West,4
8237,MARKHAM MS,"1,166",36,3,6-8,South,7
8866,MARQUEZ SH HPIAM,632,29,2,9-12,East,5
7725,MARQUEZ SH LIBRA,650,32,2,9-13,East,5
7669,MARQUEZ SH SOC JUS,584,22,1,9-12,East,5
8750,MARSHALL SH,"2,470",57,4,9-12,Central,5
8882,MAYWOOD ACADEMY SH,"1,330",39,3,9-12,East,5
1952,MCBRIDE SP ED CTR,68,21,1,6-12,West,4
8611,Mendez SH,-,0,0,9-12,East,2
8757,METROPOLITAN HS,170,38,3,9-12,East,2
